xpoints,vpoints,tpoints
1.758287,-0.612134,0.000000
1.743221,-0.593674,0.025000
1.728580,-0.578112,0.050000
1.714295,-0.565055,0.075000
1.700309,-0.554173,0.100000
1.686570,-0.545189,0.125000
1.673035,-0.537869,0.150000
1.659665,-0.532015,0.175000
1.646424,-0.527460,0.200000
1.633282,-0.524060,0.225000
1.620212,-0.521694,0.250000
1.607190,-0.520259,0.275000
1.594192,-0.519666,0.300000
1.581200,-0.519841,0.325000
1.568194,-0.520720,0.350000
1.555159,-0.522249,0.375000
1.542077,-0.524382,0.400000
1.528935,-0.527082,0.425000
1.515718,-0.530315,0.450000
1.502415,-0.534056,0.475000
1.489011,-0.538285,0.500000
1.475497,-0.542985,0.525000
1.461858,-0.548142,0.550000
1.448086,-0.553750,0.575000
1.434167,-0.559802,0.600000
1.420092,-0.566296,0.625000
1.405849,-0.573234,0.650000
1.391426,-0.580619,0.675000
1.376814,-0.588458,0.700000
1.362000,-0.596760,0.725000
1.346972,-0.605537,0.750000
1.331719,-0.614803,0.775000
1.316228,-0.624576,0.800000
1.300486,-0.634874,0.825000
1.284479,-0.645721,0.850000
1.268195,-0.657142,0.875000
1.251617,-0.669166,0.900000
1.234731,-0.681823,0.925000
1.217521,-0.695149,0.950000
1.199968,-0.709182,0.975000
1.182055,-0.723963,1.000000
1.163763,-0.739541,1.025000
1.145071,-0.755964,1.050000
1.125957,-0.773289,1.075000
1.106399,-0.791576,1.100000
1.086370,-0.810891,1.125000
1.065845,-0.831307,1.150000
1.044795,-0.852903,1.175000
1.023189,-0.875765,1.200000
1.000995,-0.899986,1.225000
0.978178,-0.925671,1.250000
0.954699,-0.952930,1.275000
0.930517,-0.981887,1.300000
0.905589,-1.012673,1.325000
0.879867,-1.045436,1.350000
0.853299,-1.080331,1.375000
0.825831,-1.117532,1.400000
0.797402,-1.157225,1.425000
0.767947,-1.199613,1.450000
0.737397,-1.244913,1.475000
0.705676,-1.293363,1.500000
0.672701,-1.345214,1.525000
0.638384,-1.400738,1.550000
0.602631,-1.460220,1.575000
0.565338,-1.523964,1.600000
0.526395,-1.592283,1.625000
0.485683,-1.665500,1.650000
0.443076,-1.743938,1.675000
0.398440,-1.827914,1.700000
0.351632,-1.917726,1.725000
0.302503,-2.013636,1.750000
0.250897,-2.115844,1.775000
0.196657,-2.224466,1.800000
0.139621,-2.339492,1.825000
0.079630,-2.460742,1.850000
0.016535,-2.587807,1.875000
-0.049803,-2.719988,1.900000
-0.119498,-2.856215,1.925000
-0.192635,-2.994965,1.950000
-0.269251,-3.134184,1.975000
-0.349326,-3.271203,2.000000
-0.432765,-3.402697,2.025000
-0.519381,-3.524664,2.050000
-0.608880,-3.632480,2.075000
-0.700845,-3.721036,2.100000
-0.794727,-3.784976,2.125000
-0.889845,-3.819051,2.150000
-0.985391,-3.818564,2.175000
-1.080454,-3.779871,2.200000
-1.174048,-3.700878,2.225000
-1.265160,-3.581434,2.250000
-1.352798,-3.423542,2.275000
-1.436050,-3.231326,2.300000
-1.514128,-3.010737,2.325000
-1.586411,-2.769030,2.350000
-1.652469,-2.514111,2.375000
-1.712072,-2.253855,2.400000
-1.765178,-1.995503,2.425000
-1.811915,-1.745221,2.450000
-1.852547,-1.507845,2.475000
-1.887444,-1.286812,2.500000
-1.917042,-1.084234,2.525000
-1.941817,-0.901074,2.550000
-1.962258,-0.737369,2.575000
-1.978843,-0.592468,2.600000
-1.992028,-0.465240,2.625000
-2.002240,-0.354271,2.650000
-2.009864,-0.257999,2.675000
-2.015249,-0.174830,2.700000
-2.018702,-0.103213,2.725000
-2.020494,-0.041688,2.750000
-2.020859,0.011086,2.775000
-2.020002,0.056315,2.800000
-2.018097,0.095073,2.825000
-2.015294,0.128299,2.850000
-2.011721,0.156813,2.875000
-2.007487,0.181322,2.900000
-2.002684,0.202434,2.925000
-1.997389,0.220668,2.950000
-1.991670,0.236469,2.975000
-1.985583,0.250213,3.000000
-1.979174,0.262220,3.025000
-1.972484,0.272762,3.050000
-1.965546,0.282067,3.075000
-1.958389,0.290332,3.100000
-1.951037,0.297720,3.125000
-1.943510,0.304370,3.150000
-1.935824,0.310401,3.175000
-1.927994,0.315912,3.200000
-1.920032,0.320988,3.225000
-1.911947,0.325701,3.250000
-1.903749,0.330113,3.275000
-1.895444,0.334275,3.300000
-1.887037,0.338231,3.325000
-1.878534,0.342020,3.350000
-1.869937,0.345675,3.375000
-1.861251,0.349222,3.400000
-1.852477,0.352687,3.425000
-1.843617,0.356091,3.450000
-1.834673,0.359450,3.475000
-1.825645,0.362782,3.500000
-1.816534,0.366101,3.525000
-1.807340,0.369417,3.550000
-1.798063,0.372743,3.575000
-1.788702,0.376089,3.600000
-1.779258,0.379462,3.625000
-1.769729,0.382872,3.650000
-1.760114,0.386325,3.675000
-1.750412,0.389829,3.700000
-1.740622,0.393389,3.725000
-1.730742,0.397013,3.750000
-1.720771,0.400706,3.775000
-1.710706,0.404473,3.800000
-1.700547,0.408320,3.825000
-1.690290,0.412254,3.850000
-1.679933,0.416278,3.875000
-1.669475,0.420399,3.900000
-1.658912,0.424622,3.925000
-1.648243,0.428953,3.950000
-1.637464,0.433398,3.975000
-1.626572,0.437962,4.000000
-1.615565,0.442651,4.025000
-1.604438,0.447473,4.050000
-1.593190,0.452433,4.075000
-1.581816,0.457539,4.100000
-1.570312,0.462798,4.125000
-1.558674,0.468217,4.150000
-1.546899,0.473804,4.175000
-1.534983,0.479569,4.200000
-1.522919,0.485519,4.225000
-1.510705,0.491664,4.250000
-1.498335,0.498015,4.275000
-1.485803,0.504581,4.300000
-1.473104,0.511375,4.325000
-1.460232,0.518408,4.350000
-1.447181,0.525693,4.375000
-1.433945,0.533243,4.400000
-1.420517,0.541074,4.425000
-1.406889,0.549200,4.450000
-1.393054,0.557639,4.475000
-1.379004,0.566408,4.500000
-1.364731,0.575526,4.525000
-1.350225,0.585013,4.550000
-1.335477,0.594892,4.575000
-1.320477,0.605185,4.600000
-1.305214,0.615919,4.625000
-1.289677,0.627120,4.650000
-1.273854,0.638818,4.675000
-1.257731,0.651044,4.700000
-1.241297,0.663833,4.725000
-1.224535,0.677221,4.750000
-1.207430,0.691247,4.775000
-1.189967,0.705956,4.800000
-1.172126,0.721393,4.825000
-1.153891,0.737608,4.850000
-1.135239,0.754657,4.875000
-1.116150,0.772599,4.900000
-1.096601,0.791497,4.925000
-1.076567,0.811422,4.950000
-1.056021,0.832451,4.975000
-1.034935,0.854664,5.000000
-1.013277,0.878153,5.025000
-0.991015,0.903014,5.050000
-0.968114,0.929356,5.075000
-0.944534,0.957293,5.100000
-0.920235,0.986951,5.125000
-0.895171,1.018469,5.150000
-0.869295,1.051996,5.175000
-0.842553,1.087693,5.200000
-0.814891,1.125739,5.225000
-0.786245,1.166324,5.250000
-0.756552,1.209655,5.275000
-0.725738,1.255957,5.300000
-0.693727,1.305470,5.325000
-0.660435,1.358453,5.350000
-0.625773,1.415180,5.375000
-0.589643,1.475942,5.400000
-0.551940,1.541044,5.425000
-0.512552,1.610804,5.450000
-0.471358,1.685543,5.475000
-0.428231,1.765583,5.500000
-0.383032,1.851236,5.525000
-0.335620,1.942788,5.550000
-0.285842,2.040484,5.575000
-0.233543,2.144502,5.600000
-0.178563,2.254922,5.625000
-0.120744,2.371686,5.650000
-0.059928,2.494552,5.675000
0.004031,2.623032,5.700000
0.071264,2.756322,5.725000
0.141877,2.893229,5.750000
0.215942,3.032083,5.775000
0.293479,3.170660,5.800000
0.374449,3.306107,5.825000
0.458730,3.434907,5.850000
0.546104,3.552880,5.875000
0.636244,3.655258,5.900000
0.728694,3.736850,5.925000
0.822868,3.792313,5.950000
0.918049,3.816534,5.975000
1.013397,3.805095,6.000000
1.107979,3.754778,6.025000
1.200798,3.664035,6.050000
1.290847,3.533334,6.075000
1.377153,3.365306,6.100000
1.458839,3.164632,6.125000
1.535165,2.937677,6.150000
1.605566,2.691924,6.175000
1.669671,2.435304,6.200000
1.727306,2.175530,6.225000
1.778480,1.919542,6.250000
1.823363,1.673117,6.275000
1.862252,1.440671,6.300000
1.895539,1.225237,6.325000
1.923671,1.028573,6.350000
1.947129,0.851354,6.375000
1.966399,0.693399,6.400000
1.981953,0.553906,6.425000
1.994238,0.431654,6.450000
2.003667,0.325179,6.475000
2.010616,0.232909,6.500000
2.015418,0.153263,6.525000
2.018371,0.084718,6.550000
2.019734,0.025850,6.575000
2.019733,-0.024639,6.600000
2.018562,-0.067915,6.625000
2.016389,-0.105008,6.650000
2.013356,-0.136821,6.675000
2.009585,-0.164138,6.700000
2.005181,-0.187636,6.725000
2.000230,-0.207895,6.750000
1.994809,-0.225412,6.775000
1.988979,-0.240609,6.800000
1.982795,-0.253846,6.825000
1.976301,-0.265428,6.850000
1.969535,-0.275613,6.875000
1.962530,-0.284621,6.900000
1.955312,-0.292636,6.925000
1.947905,-0.299816,6.950000
1.940327,-0.306293,6.975000
1.932595,-0.312181,7.000000
1.924722,-0.317573,7.025000
1.916720,-0.322552,7.050000
1.908597,-0.327186,7.075000
1.900363,-0.331533,7.100000
1.892023,-0.335643,7.125000
1.883582,-0.339560,7.150000
1.875046,-0.343318,7.175000
1.866418,-0.346950,7.200000
1.857699,-0.350482,7.225000
1.848894,-0.353937,7.250000
1.840003,-0.357336,7.275000
1.831028,-0.360696,7.300000
1.821968,-0.364033,7.325000
1.812826,-0.367359,7.350000
1.803601,-0.370687,7.375000
1.794292,-0.374027,7.400000
1.784899,-0.377390,7.425000
1.775422,-0.380783,7.450000
1.765859,-0.384214,7.475000
1.756211,-0.387692,7.500000
1.746474,-0.391221,7.525000
1.736649,-0.394810,7.550000
1.726733,-0.398464,7.575000
1.716725,-0.402189,7.600000
1.706623,-0.405990,7.625000
1.696425,-0.409874,7.650000
1.686129,-0.413845,7.675000
1.675732,-0.417909,7.700000
1.665233,-0.422072,7.725000
1.654628,-0.426339,7.750000
1.643915,-0.430716,7.775000
1.633091,-0.435209,7.800000
1.622153,-0.439824,7.825000
1.611099,-0.444567,7.850000
1.599924,-0.449444,7.875000
1.588625,-0.454463,7.900000
1.577199,-0.459630,7.925000
1.565642,-0.464953,7.950000
1.553950,-0.470439,7.975000
1.542119,-0.476097,8.000000
1.530144,-0.481936,8.025000
1.518021,-0.487964,8.050000
1.505744,-0.494191,8.075000
1.493309,-0.500627,8.100000
1.480711,-0.507284,8.125000
1.467943,-0.514173,8.150000
1.455000,-0.521306,8.175000
1.441876,-0.528696,8.200000
1.428563,-0.536358,8.225000
1.415056,-0.544306,8.250000
1.401345,-0.552556,8.275000
1.387425,-0.561125,8.300000
1.373286,-0.570032,8.325000
1.358920,-0.579296,8.350000
1.344318,-0.588939,8.375000
1.329470,-0.598981,8.400000
1.314366,-0.609449,8.425000
1.298994,-0.620368,8.450000
1.283343,-0.631765,8.475000
1.267401,-0.643672,8.500000
1.251155,-0.656120,8.525000
1.234591,-0.669146,8.550000
1.217693,-0.682786,8.575000
1.200446,-0.697081,8.600000
1.182833,-0.712077,8.625000
1.164836,-0.727821,8.650000
1.146435,-0.744365,8.675000
1.127610,-0.761766,8.700000
1.108339,-0.780085,8.725000
1.088598,-0.799388,8.750000
1.068361,-0.819747,8.775000
1.047601,-0.841242,8.800000
1.026289,-0.863958,8.825000
1.004392,-0.887987,8.850000
0.981878,-0.913431,8.875000
0.958708,-0.940400,8.900000
0.934844,-0.969014,8.925000
0.910243,-0.999403,8.950000
0.884858,-1.031711,8.975000
0.858640,-1.066091,9.000000
0.831535,-1.102711,9.025000
0.803484,-1.141755,9.050000
0.774425,-1.183419,9.075000
0.744290,-1.227918,9.100000
0.713004,-1.275483,9.125000
0.680488,-1.326360,9.150000
0.646656,-1.380815,9.175000
0.611415,-1.439130,9.200000
0.574665,-1.501602,9.225000
0.536298,-1.568540,9.250000
0.496198,-1.640265,9.275000
0.454242,-1.717099,9.300000
0.410298,-1.799361,9.325000
0.364226,-1.887356,9.350000
0.315880,-1.981354,9.375000
0.265106,-2.081578,9.400000
0.211748,-2.188169,9.425000
0.155645,-2.301158,9.450000
0.096638,-2.420420,9.475000
0.034574,-2.545619,9.500000
-0.030688,-2.676152,9.525000
-0.099270,-2.811066,9.550000
-0.171266,-2.948987,9.575000
-0.246729,-3.088030,9.600000
-0.325657,-3.225727,9.625000
-0.407979,-3.358960,9.650000
-0.493536,-3.483941,9.675000
-0.582070,-3.596240,9.700000
-0.673201,-3.690893,9.725000
-0.766424,-3.762609,9.750000
-0.861096,-3.806086,9.775000
-0.956451,-3.816431,9.800000
-1.051608,-3.789649,9.825000
-1.145602,-3.723141,9.850000
-1.237427,-3.616140,9.875000
-1.326082,-3.469981,9.900000
-1.410628,-3.288147,9.925000
-1.490236,-3.076054,9.950000
-1.564235,-2.840593,9.975000
-1.632136,-2.589512,10.000000
-1.693647,-2.330727,10.025000
-1.748670,-2.071702,10.050000
-1.797284,-1.818941,10.075000
-1.839714,-1.577690,10.100000
-1.876297,-1.351801,10.125000
-1.907453,-1.143775,10.150000
-1.933646,-0.954909,10.175000
-1.955361,-0.785504,10.200000
-1.973080,-0.635103,10.225000
-1.987266,-0.502712,10.250000
-1.998354,-0.386994,10.275000
-2.006742,-0.286427,10.300000
-2.012789,-0.199426,10.325000
-2.016813,-0.124426,10.350000
-2.019097,-0.059940,10.375000
-2.019886,-0.004592,10.400000
-2.019393,0.042861,10.425000
-2.017800,0.083532,10.450000
-2.015264,0.118399,10.475000
-2.011921,0.148314,10.500000
-2.007884,0.174019,10.525000
-2.003250,0.196149,10.550000
-1.998101,0.215249,10.575000
-1.992508,0.231785,10.600000
-1.986530,0.246154,10.625000
-1.980216,0.258691,10.650000
-1.973608,0.269682,10.675000
-1.966743,0.279369,10.700000
-1.959649,0.287956,10.725000
-1.952353,0.295618,10.750000
-1.944875,0.302500,10.775000
-1.937233,0.308728,10.800000
-1.929443,0.314405,10.825000
-1.921517,0.319623,10.850000
-1.913465,0.324455,10.875000
-1.905297,0.328967,10.900000
-1.897019,0.333213,10.925000
-1.888638,0.337241,10.950000
-1.880158,0.341089,10.975000
-1.871584,0.344793,11.000000
-1.862920,0.348382,11.025000
-1.854166,0.351880,11.050000
-1.845326,0.355311,11.075000
-1.836401,0.358692,11.100000
-1.827392,0.362041,11.125000
-1.818299,0.365372,11.150000
-1.809123,0.368697,11.175000
-1.799864,0.372029,11.200000
-1.790522,0.375378,11.225000
-1.781095,0.378751,11.250000
-1.771584,0.382159,11.275000
-1.761987,0.385608,11.300000
-1.752303,0.389105,11.325000
-1.742531,0.392658,11.350000
-1.732670,0.396273,11.375000
-1.722717,0.399954,11.400000
-1.712671,0.403709,11.425000
-1.702531,0.407543,11.450000
-1.692293,0.411461,11.475000
-1.681957,0.415469,11.500000
-1.671519,0.419572,11.525000
-1.660977,0.423777,11.550000
-1.650329,0.428087,11.575000
-1.639572,0.432510,11.600000
-1.628703,0.437052,11.625000
-1.617719,0.441717,11.650000
-1.606616,0.446513,11.675000
-1.595392,0.451447,11.700000
-1.584042,0.456524,11.725000
-1.572564,0.461753,11.750000
-1.560953,0.467141,11.775000
-1.549206,0.472695,11.800000
-1.537317,0.478425,11.825000
-1.525283,0.484338,11.850000
-1.513099,0.490445,11.875000
-1.500759,0.496755,11.900000
-1.488259,0.503279,11.925000
-1.475593,0.510028,11.950000
-1.462756,0.517014,11.975000
-1.449741,0.524248,12.000000
-1.436541,0.531746,12.025000
-1.423151,0.539521,12.050000
-1.409563,0.547589,12.075000
-1.395769,0.555965,12.100000
-1.381762,0.564668,12.125000
-1.367533,0.573717,12.150000
-1.353073,0.583130,12.175000
-1.338373,0.592931,12.200000
-1.323423,0.603142,12.225000
-1.308212,0.613788,12.250000
-1.292730,0.624896,12.275000
-1.276963,0.636494,12.300000
-1.260901,0.648615,12.325000
-1.244528,0.661291,12.350000
-1.227831,0.674559,12.375000
-1.210795,0.688458,12.400000
-1.193403,0.703030,12.425000
-1.175637,0.718320,12.450000
-1.157480,0.734380,12.475000
-1.138911,0.751262,12.500000
-1.119910,0.769024,12.525000
-1.100452,0.787731,12.550000
-1.080515,0.807450,12.575000
-1.060071,0.828257,12.600000
-1.039092,0.850232,12.625000
-1.017549,0.873465,12.650000
-0.995408,0.898051,12.675000
-0.972634,0.924094,12.700000
-0.949190,0.951710,12.725000
-0.925034,0.981023,12.750000
-0.900123,1.012166,12.775000
-0.874410,1.045289,12.800000
-0.847841,1.080549,12.825000
-0.820363,1.118122,12.850000
-0.791914,1.158196,12.875000
-0.762430,1.200975,12.900000
-0.731841,1.246679,12.925000
-0.700070,1.295546,12.950000
-0.667035,1.347830,12.975000
-0.632648,1.403804,13.000000
-0.596812,1.463755,13.025000
-0.559425,1.527986,13.050000
-0.520374,1.596812,13.075000
-0.479543,1.670554,13.100000
-0.436803,1.749535,13.125000
-0.392020,1.834069,13.150000
-0.345051,1.924450,13.175000
-0.295747,2.020931,13.200000
-0.243952,2.123705,13.225000
-0.189508,2.232875,13.250000
-0.132255,2.348414,13.275000
-0.072036,2.470120,13.300000
-0.008701,2.597556,13.325000
0.057884,2.729988,13.350000
0.127831,2.866304,13.375000
0.201218,3.004935,13.400000
0.278079,3.143769,13.425000
0.358386,3.280081,13.450000
0.442034,3.410487,13.475000
0.528828,3.530930,13.500000
0.618459,3.636748,13.525000
0.710500,3.722815,13.550000
0.804391,3.783791,13.575000
0.899437,3.814483,13.600000
0.994824,3.810300,13.625000
1.089632,3.767748,13.650000
1.182875,3.684921,13.675000
1.273542,3.561878,13.700000
1.360651,3.400826,13.725000
1.443302,3.206068,13.750000
1.520724,2.983679,13.775000
1.592316,2.740975,13.800000
1.657669,2.485854,13.825000
1.716570,2.226120,13.850000
1.768996,1.968899,13.875000
1.815087,1.720217,13.900000
1.855118,1.484763,13.925000
1.889463,1.265835,13.950000
1.918564,1.065425,13.975000
1.942896,0.884403,14.000000
1.962946,0.722736,14.025000
1.979189,0.579726,14.050000
1.992078,0.454220,14.075000
2.002034,0.344788,14.100000
2.009438,0.249872,14.125000
2.014635,0.167885,14.150000
2.017927,0.097289,14.175000
2.019582,0.036639,14.200000
2.019831,-0.015389,14.225000
2.018874,-0.059987,14.250000
2.016885,-0.098211,14.275000
2.014009,-0.130990,14.300000
2.010374,-0.159128,14.325000
2.006085,-0.183323,14.350000
2.001235,-0.204172,14.375000
1.995900,-0.222189,14.400000
1.990146,-0.237808,14.425000
1.984027,-0.251402,14.450000
1.977590,-0.263285,14.475000
1.970875,-0.273725,14.500000
1.963914,-0.282947,14.525000
1.956736,-0.291142,14.550000
1.949364,-0.298474,14.575000
1.941818,-0.305079,14.600000
1.934115,-0.311074,14.625000
1.926269,-0.316556,14.650000
1.918291,-0.321610,14.675000
1.910191,-0.326306,14.700000
1.901978,-0.330705,14.725000
1.893658,-0.334858,14.750000
1.885237,-0.338809,14.775000
1.876719,-0.342596,14.800000
1.868108,-0.346250,14.825000
1.859407,-0.349799,14.850000
1.850619,-0.353268,14.875000
1.841744,-0.356677,14.900000
1.832785,-0.360043,14.925000
1.823742,-0.363383,14.950000
1.814616,-0.366710,14.975000
1.805407,-0.370037,15.000000
1.796114,-0.373374,15.025000
1.786738,-0.376732,15.050000
1.777277,-0.380118,15.075000
1.767732,-0.383541,15.100000
1.758100,-0.387009,15.125000
1.748381,-0.390528,15.150000
1.738573,-0.394105,15.175000
1.728675,-0.397746,15.200000
1.718685,-0.401456,15.225000
1.708602,-0.405242,15.250000
1.698422,-0.409109,15.275000
1.688146,-0.413063,15.300000
1.677769,-0.417109,15.325000
1.667289,-0.421252,15.350000
1.656705,-0.425498,15.375000
1.646013,-0.429854,15.400000
1.635211,-0.434323,15.425000
1.624296,-0.438914,15.450000
1.613265,-0.443631,15.475000
1.602114,-0.448482,15.500000
1.590839,-0.453473,15.525000
1.579439,-0.458610,15.550000
1.567908,-0.463902,15.575000
1.556242,-0.469356,15.600000
1.544438,-0.474980,15.625000
1.532492,-0.480782,15.650000
1.520398,-0.486772,15.675000
1.508152,-0.492960,15.700000
1.495748,-0.499355,15.725000
1.483182,-0.505968,15.750000
1.470448,-0.512810,15.775000
1.457539,-0.519895,15.800000
1.444451,-0.527234,15.825000
1.431176,-0.534841,15.850000
1.417707,-0.542732,15.875000
1.404036,-0.550922,15.900000
1.390158,-0.559428,15.925000
1.376062,-0.568267,15.950000
1.361741,-0.577460,15.975000
1.347186,-0.587027,16.000000
1.332387,-0.596990,16.025000
1.317333,-0.607372,16.050000
1.302015,-0.618201,16.075000
1.286419,-0.629503,16.100000
1.270535,-0.641308,16.125000
1.254349,-0.653648,16.150000
1.237848,-0.666557,16.175000
1.221016,-0.680074,16.200000
1.203839,-0.694239,16.225000
1.186299,-0.709094,16.250000
1.168378,-0.724688,16.275000
1.150058,-0.741072,16.300000
1.131317,-0.758301,16.325000
1.112135,-0.776436,16.350000
1.092488,-0.795541,16.375000
1.072349,-0.815689,16.400000
1.051694,-0.836955,16.425000
1.030492,-0.859426,16.450000
1.008712,-0.883191,16.475000
0.986320,-0.908350,16.500000
0.963282,-0.935013,16.525000
0.939556,-0.963296,16.550000
0.915102,-0.993328,16.575000
