xpoints,vpoints,tpoints
0.497199,-0.867635,19.900000
0.408097,-0.912937,20.000000
0.314916,-0.949118,20.100000
0.218589,-0.975815,20.200000
0.120078,-0.992763,20.300000
0.020368,-0.999791,20.400000
-0.079546,-0.996830,20.500000
-0.178666,-0.983908,20.600000
-0.276000,-0.961156,20.700000
-0.370577,-0.928800,20.800000
-0.461451,-0.887164,20.900000
-0.547714,-0.836664,21.000000
-0.628505,-0.777804,21.100000
-0.703015,-0.711173,21.200000
-0.770502,-0.637435,21.300000
-0.830290,-0.557329,21.400000
-0.881782,-0.471654,21.500000
-0.924464,-0.381267,21.600000
-0.957908,-0.287069,21.700000
-0.981782,-0.190004,21.800000
-0.995846,-0.091040,21.900000
-0.999959,0.008833,22.000000
-0.994082,0.108618,22.100000
-0.978272,0.207318,22.200000
-0.952687,0.303946,22.300000
-0.917584,0.397538,22.400000
-0.873312,0.487157,22.500000
-0.820315,0.571909,22.600000
-0.759121,0.650947,22.700000
-0.690342,0.723481,22.800000
-0.614666,0.788785,22.900000
-0.532848,0.846209,23.000000
-0.445706,0.895177,23.100000
-0.354111,0.935202,23.200000
-0.258978,0.965882,23.300000
-0.161257,0.986911,23.400000
-0.061925,0.998079,23.500000
0.038026,0.999275,23.600000
0.137597,0.990487,23.700000
0.235793,0.971802,23.800000
0.331634,0.943406,23.900000
0.424160,0.905585,24.000000
0.512449,0.858716,24.100000
0.595617,0.803266,24.200000
0.672834,0.739791,24.300000
0.743329,0.668924,24.400000
0.806396,0.591373,24.500000
0.861406,0.507913,24.600000
0.907809,0.419379,24.700000
0.945142,0.326654,24.800000
0.973031,0.230665,24.900000
0.991198,0.132372,25.000000
0.999462,0.032756,25.100000
0.997739,-0.067187,25.200000
0.986047,-0.166459,25.300000
0.964502,-0.264068,25.400000
0.933321,-0.359038,25.500000
0.892814,-0.450421,25.600000
0.843387,-0.537303,25.700000
0.785533,-0.618817,25.800000
0.719830,-0.694148,25.900000
0.646935,-0.762543,26.000000
0.567575,-0.823319,26.100000
0.482545,-0.875869,26.200000
0.392694,-0.919667,26.300000
0.298918,-0.954277,26.400000
0.202156,-0.979351,26.500000
0.103374,-0.994641,26.600000
0.003560,-0.999992,26.700000
-0.096291,-0.995351,26.800000
-0.195179,-0.980766,26.900000
-0.292117,-0.956381,27.000000
-0.386136,-0.922440,27.100000
-0.476297,-0.879282,27.200000
-0.561699,-0.827339,27.300000
-0.641489,-0.767129,27.400000
-0.714870,-0.699255,27.500000
-0.781107,-0.624394,27.600000
-0.839540,-0.543294,27.700000
-0.889585,-0.456766,27.800000
-0.930741,-0.365673,27.900000
-0.962598,-0.270928,28.000000
-0.984836,-0.173475,28.100000
-0.997235,-0.074289,28.200000
-0.999669,0.025640,28.300000
-0.992115,0.125312,28.400000
-0.974649,0.223732,28.500000
-0.947444,0.319917,28.600000
-0.910772,0.412905,28.700000
-0.865000,0.501768,28.800000
-0.810586,0.585617,28.900000
-0.748072,0.663615,29.000000
-0.678084,0.734982,29.100000
-0.601321,0.799005,29.200000
-0.518549,0.855045,29.300000
-0.430597,0.902542,29.400000
-0.338342,0.941021,29.500000
-0.242706,0.970098,29.600000
-0.144645,0.989481,29.700000
-0.045140,0.998979,29.800000
0.054817,0.998494,29.900000
0.154227,0.988033,30.000000
0.252095,0.967700,30.100000
0.347444,0.937698,30.200000
0.439322,0.898327,30.300000
0.526810,0.849981,30.400000
0.609035,0.793141,30.500000
0.685174,0.728377,30.600000
0.754467,0.656335,30.700000
0.816222,0.577735,30.800000
0.869821,0.493362,30.900000
0.914730,0.404060,31.000000
0.950499,0.310721,31.100000
0.976771,0.214277,31.200000
0.993283,0.115693,31.300000
0.999871,0.015952,31.400000
0.996468,-0.083948,31.500000
0.983109,-0.183010,31.600000
0.959927,-0.280242,31.700000
0.927154,-0.374675,31.800000
0.885117,-0.465364,31.900000
0.834236,-0.551403,32.000000
0.775020,-0.631933,32.100000
0.708060,-0.706149,32.200000
0.634026,-0.773309,32.300000
0.553656,-0.832743,32.400000
0.467755,-0.883856,32.500000
0.377180,-0.926138,32.600000
0.282836,-0.959166,32.700000
0.185666,-0.982611,32.800000
0.086641,-0.996237,32.900000
-0.013249,-0.999910,33.000000
-0.113007,-0.993592,33.100000
-0.211636,-0.977346,33.200000
-0.308151,-0.951335,33.300000
-0.401586,-0.915819,33.400000
-0.491009,-0.871152,33.500000
-0.575526,-0.817780,33.600000
-0.654293,-0.756238,33.700000
-0.726522,-0.687140,33.800000
-0.791492,-0.611176,33.900000
-0.848553,-0.529105,34.000000
-0.897136,-0.441748,34.100000
-0.936756,-0.349977,34.200000
-0.967015,-0.254709,34.300000
-0.987613,-0.156896,34.400000
-0.998342,-0.057516,34.500000
-0.999097,0.042439,34.600000
-0.989868,0.141970,34.700000
-0.970750,0.240083,34.800000
-0.941932,0.335797,34.900000
-0.903702,0.428155,35.000000
-0.856444,0.516236,35.100000
-0.800627,0.599159,35.200000
-0.736812,0.676095,35.300000
-0.665634,0.746275,35.400000
-0.587805,0.808999,35.500000
-0.504104,0.863640,35.600000
-0.415365,0.909652,35.700000
-0.322476,0.946575,35.800000
-0.226366,0.974040,35.900000
-0.127993,0.991773,36.000000
-0.028342,0.999596,36.100000
0.071593,0.997431,36.200000
0.170812,0.985301,36.300000
0.268325,0.963326,36.400000
0.363156,0.931726,36.500000
0.454359,0.890816,36.600000
0.541022,0.841005,36.700000
0.622280,0.782792,36.800000
0.697320,0.716757,36.900000
0.765392,0.643560,37.000000
0.825817,0.563933,37.100000
0.877991,0.478672,37.200000
0.921392,0.388628,37.300000
0.955587,0.294701,37.400000
0.980234,0.197829,37.500000
0.995087,0.098980,37.600000
0.999997,-0.000857,37.700000
0.994916,-0.100686,37.800000
0.979893,-0.199508,37.900000
0.955080,-0.296338,38.000000
0.920725,-0.390206,38.100000
0.877169,-0.480176,38.200000
0.824850,-0.565348,38.300000
0.764288,-0.644871,38.400000
0.696090,-0.717950,38.500000
0.620937,-0.783857,38.600000
0.539580,-0.841931,38.700000
0.452832,-0.891593,38.800000
0.361559,-0.932346,38.900000
0.266673,-0.963784,39.000000
0.169123,-0.985592,39.100000
0.069884,-0.997552,39.200000
-0.030055,-0.999546,39.300000
-0.129692,-0.991552,39.400000
-0.228034,-0.973650,39.500000
-0.324098,-0.946021,39.600000
-0.416923,-0.908939,39.700000
-0.505583,-0.862775,39.800000
-0.589191,-0.807991,39.900000
-0.666911,-0.745133,40.000000
-0.737969,-0.674831,40.100000
-0.801653,-0.597785,40.200000
-0.857327,-0.514767,40.300000
-0.904435,-0.426606,40.400000
-0.942506,-0.334182,40.500000
-0.971160,-0.238419,40.600000
-0.990110,-0.140274,40.700000
-0.999167,-0.040727,40.800000
-0.998242,0.059227,40.900000
-0.987342,0.158589,41.000000
-0.966577,0.256366,41.100000
-0.936154,0.351582,41.200000
-0.896378,0.443285,41.300000
-0.847645,0.530559,41.400000
-0.790443,0.612531,41.500000
-0.725343,0.688384,41.600000
-0.652996,0.757358,41.700000
-0.574124,0.818765,41.800000
-0.489515,0.871991,41.900000
-0.400016,0.916505,42.000000
-0.306520,0.951861,42.100000
-0.209961,0.977707,42.200000
-0.111305,0.993783,42.300000
-0.011536,0.999931,42.400000
0.088348,0.996087,42.500000
0.187350,0.982290,42.600000
0.284479,0.958679,42.700000
0.378766,0.925489,42.800000
0.469268,0.883052,42.900000
0.555082,0.831792,43.000000
0.635349,0.772221,43.100000
0.709269,0.704934,43.200000
0.776101,0.630604,43.300000
0.835179,0.549972,43.400000
0.885912,0.463846,43.500000
0.927794,0.373085,43.600000
0.960405,0.278597,43.700000
0.983420,0.181324,43.800000
0.996609,0.082240,43.900000
0.999841,-0.017665,44.000000
0.993082,-0.117395,44.100000
0.976401,-0.215951,44.200000
0.949964,-0.312349,44.300000
0.914035,-0.405627,44.400000
0.868974,-0.494852,44.500000
0.815230,-0.579132,44.600000
0.753341,-0.657626,44.700000
0.683924,-0.729549,44.800000
0.607674,-0.794183,44.900000
0.525352,-0.850881,45.000000
0.437781,-0.899078,45.100000
0.345836,-0.938292,45.200000
0.250436,-0.968130,45.300000
0.152533,-0.988295,45.400000
0.053106,-0.998586,45.500000
-0.046851,-0.998899,45.600000
-0.146341,-0.989231,45.700000
-0.244368,-0.969679,45.800000
-0.339953,-0.940439,45.900000
-0.432142,-0.901802,46.000000
-0.520013,-0.854155,46.100000
-0.602688,-0.797973,46.200000
-0.679342,-0.733818,46.300000
-0.749207,-0.662331,46.400000
-0.811587,-0.584226,46.500000
-0.865858,-0.500284,46.600000
-0.911477,-0.411343,46.700000
