xpoints,vpoints,tpoints
-1.231115,0.671922,0.000000
-1.214355,0.669298,0.025000
-1.197630,0.669047,0.050000
-1.180884,0.671023,0.075000
-1.164061,0.675120,0.100000
-1.147111,0.681269,0.125000
-1.129981,0.689430,0.150000
-1.112622,0.699595,0.175000
-1.094984,0.711782,0.200000
-1.077016,0.726037,0.225000
-1.058665,0.742434,0.250000
-1.039876,0.761076,0.275000
-1.020591,0.782096,0.300000
-1.000750,0.805658,0.325000
-0.980285,0.831965,0.350000
-0.959127,0.861256,0.375000
-0.937195,0.893818,0.400000
-0.914406,0.929987,0.425000
-0.890663,0.970158,0.450000
-0.865861,1.014797,0.475000
-0.839881,1.064444,0.500000
-0.812591,1.119736,0.525000
-0.783841,1.181415,0.550000
-0.753460,1.250350,0.575000
-0.721255,1.327559,0.600000
-0.687004,1.414232,0.625000
-0.650453,1.511760,0.650000
-0.611312,1.621768,0.675000
-0.569245,1.746145,0.700000
-0.523867,1.887075,0.725000
-0.474732,2.047067,0.750000
-0.421331,2.228955,0.775000
-0.363076,2.435880,0.800000
-0.299301,2.671207,0.825000
-0.229251,2.938342,0.850000
-0.152092,3.240384,0.875000
-0.066922,3.579528,0.900000
0.027197,3.956092,0.925000
0.131171,4.367046,0.950000
0.245768,4.803960,0.975000
0.371452,5.250460,1.000000
0.508151,5.679667,1.025000
0.654971,6.052751,1.050000
0.809911,6.320499,1.075000
0.969673,6.430006,1.100000
1.129715,6.337197,1.125000
1.284667,6.022319,1.150000
1.429098,5.501415,1.175000
1.558442,4.826232,1.200000
1.669740,4.070712,1.225000
1.761944,3.310486,1.250000
1.835732,2.605445,1.275000
1.892985,1.991758,1.300000
1.936199,1.483075,1.325000
1.967993,1.076799,1.350000
1.990793,0.761179,1.375000
2.006677,0.520911,1.400000
2.017336,0.340649,1.425000
2.024094,0.206779,1.450000
2.027965,0.108043,1.475000
2.029712,0.035538,1.500000
2.029902,-0.017576,1.525000
2.028951,-0.056452,1.550000
2.027165,-0.084918,1.575000
2.024768,-0.105796,1.600000
2.021921,-0.121150,1.625000
2.018744,-0.132488,1.650000
2.015321,-0.140906,1.675000
2.011716,-0.147200,1.700000
2.007974,-0.151950,1.725000
2.004128,-0.155576,1.750000
2.000202,-0.158383,1.775000
1.996213,-0.160593,1.800000
1.992176,-0.162369,1.825000
1.988097,-0.163828,1.850000
1.983986,-0.165056,1.875000
1.979846,-0.166117,1.900000
1.975681,-0.167056,1.925000
1.971494,-0.167907,1.950000
1.967286,-0.168695,1.975000
1.963060,-0.169438,2.000000
1.958815,-0.170150,2.025000
1.954552,-0.170840,2.050000
1.950273,-0.171517,2.075000
1.945976,-0.172184,2.100000
1.941664,-0.172847,2.125000
1.937334,-0.173509,2.150000
1.932988,-0.174171,2.175000
1.928626,-0.174837,2.200000
1.924246,-0.175506,2.225000
1.919850,-0.176180,2.250000
1.915437,-0.176861,2.275000
1.911007,-0.177548,2.300000
1.906560,-0.178242,2.325000
1.902095,-0.178944,2.350000
1.897613,-0.179653,2.375000
1.893112,-0.180371,2.400000
1.888594,-0.181098,2.425000
1.884057,-0.181833,2.450000
1.879502,-0.182578,2.475000
1.874928,-0.183332,2.500000
1.870335,-0.184095,2.525000
1.865723,-0.184869,2.550000
1.861092,-0.185652,2.575000
1.856441,-0.186446,2.600000
1.851770,-0.187251,2.625000
1.847078,-0.188067,2.650000
1.842366,-0.188893,2.675000
1.837633,-0.189731,2.700000
1.832879,-0.190581,2.725000
1.828104,-0.191442,2.750000
1.823307,-0.192316,2.775000
1.818488,-0.193202,2.800000
1.813647,-0.194101,2.825000
1.808783,-0.195013,2.850000
1.803896,-0.195938,2.875000
1.798986,-0.196877,2.900000
1.794052,-0.197830,2.925000
1.789095,-0.198798,2.950000
1.784112,-0.199780,2.975000
1.779105,-0.200777,3.000000
1.774073,-0.201790,3.025000
1.769016,-0.202819,3.050000
1.763932,-0.203864,3.075000
1.758822,-0.204926,3.100000
1.753686,-0.206005,3.125000
1.748522,-0.207101,3.150000
1.743331,-0.208216,3.175000
1.738111,-0.209349,3.200000
1.732863,-0.210501,3.225000
1.727586,-0.211673,3.250000
1.722279,-0.212865,3.275000
1.716942,-0.214078,3.300000
1.711575,-0.215313,3.325000
1.706177,-0.216569,3.350000
1.700746,-0.217847,3.375000
1.695284,-0.219149,3.400000
1.689789,-0.220475,3.425000
1.684260,-0.221826,3.450000
1.678697,-0.223202,3.475000
1.673100,-0.224604,3.500000
1.667467,-0.226033,3.525000
1.661798,-0.227489,3.550000
1.656092,-0.228975,3.575000
1.650349,-0.230490,3.600000
1.644567,-0.232036,3.625000
1.638747,-0.233613,3.650000
1.632887,-0.235223,3.675000
1.626985,-0.236867,3.700000
1.621043,-0.238545,3.725000
1.615058,-0.240259,3.750000
1.609030,-0.242011,3.775000
1.602957,-0.243801,3.800000
1.596839,-0.245632,3.825000
1.590675,-0.247503,3.850000
1.584464,-0.249418,3.875000
1.578204,-0.251377,3.900000
1.571895,-0.253382,3.925000
1.565534,-0.255434,3.950000
1.559122,-0.257537,3.975000
1.552657,-0.259691,4.000000
1.546137,-0.261899,4.025000
1.539562,-0.264163,4.050000
1.532929,-0.266484,4.075000
1.526237,-0.268866,4.100000
1.519485,-0.271311,4.125000
1.512671,-0.273821,4.150000
1.505793,-0.276399,4.175000
1.498850,-0.279049,4.200000
