x,y,vx,vy,t
0.000000,0.000000,86.602540,50.000000,0.000000
10.388713,5.990728,86.542694,49.845489,0.120000
20.770251,11.962923,86.482966,49.691129,0.240000
31.144629,17.916605,86.423356,49.536920,0.360000
41.511861,23.851790,86.363864,49.382861,0.480000
51.871961,29.768498,86.304489,49.228952,0.600000
62.224943,35.666745,86.245231,49.075192,0.720000
72.570821,41.546549,86.186090,48.921580,0.840000
82.909610,47.407930,86.127065,48.768117,0.960000
93.241322,53.250904,86.068156,48.614802,1.080000
103.565972,59.075488,86.009363,48.461634,1.200000
113.883573,64.881702,85.950685,48.308614,1.320000
124.194141,70.669561,85.892122,48.155739,1.440000
134.497687,76.439085,85.833674,48.003010,1.560000
144.794227,82.190290,85.775339,47.850427,1.680000
155.083773,87.923193,85.717119,47.697990,1.800000
165.366340,93.637813,85.659012,47.545696,1.920000
175.641941,99.334166,85.601018,47.393547,2.040000
185.910589,105.012270,85.543138,47.241541,2.160000
196.172298,110.672142,85.485369,47.089679,2.280000
206.427082,116.313799,85.427713,46.937960,2.400000
216.674954,121.937258,85.370169,46.786383,2.520000
226.915927,127.542536,85.312736,46.634947,2.640000
237.150015,133.129651,85.255414,46.483654,2.760000
247.377231,138.698619,85.198204,46.332501,2.880000
257.597588,144.249457,85.141103,46.181489,3.000000
267.811100,149.782182,85.084113,46.030617,3.120000
278.017780,155.296810,85.027232,45.879885,3.240000
288.217640,160.793360,84.970461,45.729292,3.360000
298.410695,166.271846,84.913800,45.578837,3.480000
308.596957,171.732286,84.857247,45.428522,3.600000
318.776438,177.174697,84.800802,45.278344,3.720000
328.949153,182.599094,84.744466,45.128303,3.840000
339.115114,188.005495,84.688237,44.978400,3.960000
349.274335,193.393916,84.632116,44.828634,4.080000
359.426827,198.764372,84.576102,44.679004,4.200000
369.572603,204.116882,84.520195,44.529509,4.320000
379.711678,209.451460,84.464394,44.380150,4.440000
389.844062,214.768123,84.408700,44.230926,4.560000
399.969770,220.066888,84.353112,44.081837,4.680000
410.088813,225.347770,84.297629,43.932882,4.800000
420.201205,230.610785,84.242251,43.784060,4.920000
430.306958,235.855949,84.186978,43.635372,5.040000
440.406084,241.083279,84.131810,43.486817,5.160000
450.498596,246.292791,84.076746,43.338394,5.280000
460.584507,251.484499,84.021786,43.190104,5.400000
470.663829,256.658421,83.966930,43.041945,5.520000
480.736574,261.814572,83.912177,42.893918,5.640000
490.802756,266.952967,83.857527,42.746021,5.760000
500.862385,272.073622,83.802980,42.598255,5.880000
510.915475,277.176553,83.748535,42.450619,6.000000
520.962038,282.261775,83.694192,42.303112,6.120000
531.002085,287.329305,83.639952,42.155735,6.240000
541.035630,292.379157,83.585812,42.008487,6.360000
551.062684,297.411347,83.531774,41.861367,6.480000
561.083260,302.425890,83.477836,41.714375,6.600000
571.097369,307.422802,83.423999,41.567511,6.720000
581.105024,312.402098,83.370263,41.420775,6.840000
591.106236,317.363793,83.316626,41.274165,6.960000
601.101018,322.307903,83.263089,41.127682,7.080000
611.089381,327.234442,83.209651,40.981325,7.200000
621.071338,332.143426,83.156312,40.835094,7.320000
631.046900,337.034869,83.103072,40.688988,7.440000
641.016079,341.908788,83.049931,40.543007,7.560000
650.978887,346.765196,82.996887,40.397151,7.680000
660.935336,351.604109,82.943942,40.251419,7.800000
670.885437,356.425542,82.891093,40.105811,7.920000
680.829203,361.229508,82.838343,39.960326,8.040000
690.766643,366.016025,82.785689,39.814964,8.160000
700.697772,370.785105,82.733131,39.669726,8.280000
710.622599,375.536764,82.680670,39.524609,8.400000
720.541136,380.271016,82.628305,39.379615,8.520000
730.453396,384.987876,82.576036,39.234742,8.640000
740.359389,389.687359,82.523863,39.089990,8.760000
750.259127,394.369479,82.471784,38.945359,8.880000
760.152621,399.034250,82.419800,38.800849,9.000000
770.039883,403.681687,82.367911,38.656459,9.120000
779.920923,408.311805,82.316117,38.512189,9.240000
789.795754,412.924617,82.264416,38.368038,9.360000
799.664387,417.520139,82.212809,38.224006,9.480000
809.526832,422.098383,82.161295,38.080093,9.600000
819.383101,426.659366,82.109875,37.936298,9.720000
829.233206,431.203100,82.058547,37.792621,9.840000
839.077157,435.729599,82.007313,37.649062,9.960000
848.914965,440.238879,81.956170,37.505620,10.080000
858.746641,444.730953,81.905119,37.362295,10.200000
868.572197,449.205835,81.854160,37.219087,10.320000
878.391643,453.663539,81.803293,37.075995,10.440000
888.204991,458.104078,81.752517,36.933019,10.560000
898.012251,462.527468,81.701832,36.790158,10.680000
907.813434,466.933721,81.651237,36.647413,10.800000
917.608551,471.322851,81.600733,36.504782,10.920000
927.397614,475.694873,81.550318,36.362266,11.040000
937.180631,480.049800,81.499994,36.219864,11.160000
946.957616,484.387645,81.449759,36.077575,11.280000
956.728577,488.708422,81.399613,35.935401,11.400000
966.493526,493.012146,81.349556,35.793339,11.520000
976.252474,497.298828,81.299588,35.651390,11.640000
986.005431,501.568484,81.249708,35.509554,11.760000
995.752408,505.821126,81.199917,35.367830,11.880000
1005.493415,510.056767,81.150213,35.226217,12.000000
1015.228462,514.275422,81.100597,35.084716,12.120000
1024.957561,518.477104,81.051068,34.943326,12.240000
1034.680722,522.661825,81.001627,34.802047,12.360000
1044.397955,526.829599,80.952272,34.660879,12.480000
1054.109271,530.980440,80.903004,34.519820,12.600000
1063.814680,535.114361,80.853821,34.378872,12.720000
1073.514191,539.231374,80.804725,34.238032,12.840000
1083.207817,543.331493,80.755715,34.097302,12.960000
1092.895566,547.414731,80.706790,33.956681,13.080000
1102.577450,551.481101,80.657950,33.816169,13.200000
1112.253478,555.530616,80.609196,33.675764,13.320000
1121.923660,559.563288,80.560525,33.535468,13.440000
1131.588007,563.579132,80.511940,33.395279,13.560000
1141.246529,567.578160,80.463438,33.255197,13.680000
