xpoints,vpoints,tpoints
5.000000,0.000000,0.000000
4.900990,-4.901492,0.040000
4.615307,-9.253674,0.080000
4.173182,-12.682564,0.120000
3.614738,-15.070726,0.160000
2.980080,-16.524251,0.200000
2.302191,-17.275319,0.240000
1.603944,-17.583262,0.280000
0.898468,-17.667881,0.320000
0.191473,-17.677079,0.360000
-0.515610,-17.676099,0.400000
-1.222267,-17.645510,0.440000
-1.925518,-17.481635,0.480000
-2.616610,-17.001319,0.520000
-3.278151,-15.960770,0.560000
-3.882505,-14.102543,0.600000
-4.392801,-11.238872,0.640000
-4.767816,-7.356340,0.680000
-4.970676,-2.692233,0.720000
-4.978945,2.281845,0.760000
-4.791675,6.992258,0.800000
-4.429714,10.952491,0.840000
-3.929109,13.903521,0.880000
-3.331093,15.839951,0.920000
-2.673139,16.939053,0.960000
-1.983732,17.456121,1.000000
-1.281083,17.638346,1.040000
-0.574562,17.674933,1.080000
0.132492,17.676470,1.120000
0.839489,17.669450,1.160000
1.545204,17.595673,1.200000
2.244410,17.313925,1.240000
2.924702,16.609586,1.280000
3.564074,15.224627,1.320000
4.130324,12.921174,1.360000
4.583729,9.578527,1.400000
4.883809,5.292865,1.440000
4.999126,0.418144,1.480000
4.916561,-4.505206,1.520000
4.645575,-8.920553,1.560000
4.215108,-12.434504,1.600000
3.664851,-14.908055,1.640000
3.035228,-16.431863,1.680000
2.359987,-17.231609,1.720000
1.662869,-17.567395,1.760000
0.957746,-17.663948,1.800000
0.250837,-17.675795,1.840000
-0.456199,-17.675239,1.880000
-1.162900,-17.649969,1.920000
-1.866623,-17.503327,1.960000
-2.559222,-17.058429,2.000000
-3.224122,-16.075299,2.040000
-3.834558,-14.294971,2.080000
-4.354316,-11.519876,2.120000
-4.742250,-7.718134,2.160000
-4.960731,-3.104857,2.200000
-4.985763,1.864527,2.240000
-4.814467,6.617889,2.280000
-4.466026,10.654690,2.320000
-3.975570,13.694054,2.360000
-3.384273,15.710950,2.400000
-2.730183,16.871211,2.440000
-2.042638,17.427299,2.480000
-1.340688,17.629479,2.520000
-0.634353,17.672937,2.560000
0.072644,17.675227,2.600000
0.779612,17.670002,2.640000
1.485510,17.606225,2.680000
2.185579,17.349542,2.720000
2.868135,16.690813,2.760000
3.512045,15.373798,2.800000
4.085928,13.155562,2.840000
4.550499,9.901299,2.880000
4.864993,5.685890,2.920000
4.996809,0.842376,2.960000
4.931014,-4.099072,3.000000
4.675163,-8.575682,3.040000
4.256825,-12.175026,3.080000
3.715174,-14.735989,3.120000
3.090908,-16.332845,3.160000
2.418526,-17.183929,3.200000
1.722652,-17.549622,3.240000
1.017931,-17.659413,3.280000
0.311117,-17.674472,3.320000
-0.395870,-17.674257,3.360000
-1.102599,-17.653689,3.400000
-1.806745,-17.523255,3.440000
-2.500758,-17.112554,3.480000
-3.168874,-16.185793,3.520000
-3.785222,-14.483050,3.560000
-4.314282,-11.797590,3.600000
-4.715054,-8.079426,3.640000
-4.949216,-3.521133,3.680000
-4.991246,1.439212,3.720000
-4.836313,6.232443,3.760000
-4.501860,10.344917,3.800000
-4.022012,13.473826,3.840000
-3.437818,15.573692,3.880000
-2.787865,16.797942,3.920000
-2.102349,17.395504,3.960000
-1.401180,17.619382,4.000000
-0.695057,17.670680,4.040000
0.011881,17.673981,4.080000
0.718814,17.670204,4.120000
1.424866,17.615588,4.160000
2.125727,17.382798,4.200000
2.810427,16.768448,4.240000
3.458712,15.518558,4.280000
4.040052,13.385764,4.320000
4.515653,10.221733,4.360000
4.844534,6.080124,4.400000
4.992987,1.272302,4.440000
4.944272,-3.683247,4.480000
4.703996,-8.218937,4.520000
4.298267,-11.903790,4.560000
3.765657,-14.554101,4.600000
3.147087,-16.226791,4.640000
2.477790,-17.131965,4.680000
1.783285,-17.529742,4.720000
1.079019,-17.654175,4.760000
0.372313,-17.673086,4.800000
-0.334625,-17.673180,4.840000
-1.041368,-17.656716,4.880000
-1.745890,-17.541455,4.920000
-2.441220,-17.163681,4.960000
-3.112410,-16.292146,5.000000
-3.734492,-14.666538,5.040000
-4.272683,-12.071621,5.080000
-4.686194,-8.439716,5.120000
-4.936076,-3.940581,5.160000
-4.995323,1.006204,5.200000
-4.857133,5.835954,5.240000
-4.537141,10.022937,5.280000
-4.068376,13.242436,5.320000
-3.491684,15.427741,5.360000
-2.846159,16.718871,5.400000
-2.162850,17.360468,5.440000
-1.462552,17.607899,5.480000
-0.756673,17.668097,5.520000
-0.049798,17.672734,5.560000
0.657096,17.670097,5.600000
1.363274,17.623811,5.640000
2.064859,17.413716,5.680000
2.751582,16.842447,5.720000
3.404077,15.658744,5.760000
3.992687,13.611465,5.800000
4.479166,10.539371,5.840000
4.822387,6.475052,5.880000
4.987594,1.707496,5.920000
4.956260,-3.257924,5.960000
4.731994,-7.850222,6.000000
4.339363,-11.620466,6.040000
3.816247,-14.361952,6.080000
3.203728,-16.113279,6.120000
2.537756,-17.075384,6.160000
1.844757,-17.507536,6.200000
1.141005,-17.648121,6.240000
0.434424,-17.671607,6.280000
-0.272463,-17.672033,6.320000
-0.979208,-17.659102,6.360000
-1.684061,-17.557974,6.400000
-2.380616,-17.211812,6.440000
-3.054733,-16.394268,6.480000
-3.682364,-14.845206,6.520000
-4.229503,-12.341580,6.560000
-4.655635,-8.798500,6.600000
-4.921258,-4.362697,6.640000
-4.997923,0.565848,6.680000
-4.876848,5.428485,6.720000
-4.571793,9.688535,6.760000
-4.114597,12.999485,6.800000
-3.545825,15.272646,6.840000
-2.905034,16.633604,6.880000
-2.224126,17.321905,6.920000
-1.524797,17.594860,6.960000
-0.819199,17.665117,7.000000
-0.112393,17.671486,7.040000
0.594459,17.669722,7.080000
1.300738,17.630950,7.120000
2.002980,17.442329,7.160000
2.691607,16.912777,7.200000
3.348141,15.794209,7.240000
3.943826,13.832364,7.280000
4.441017,10.853756,7.320000
4.798509,6.870139,7.360000
4.980569,2.147497,7.400000
