xpoints,vpoints,tpoints
3.000000,0.000000,0.000000
2.978477,-1.072266,0.040000
2.914824,-2.099353,0.080000
2.811666,-3.041680,0.120000
2.673023,-3.869640,0.160000
2.503859,-4.565946,0.200000
2.309575,-5.125761,0.240000
2.095545,-5.555006,0.280000
1.866735,-5.867561,0.320000
1.627449,-6.082128,0.360000
1.381196,-6.219332,0.400000
1.130663,-6.299412,0.440000
0.877760,-6.340577,0.480000
0.623731,-6.357991,0.520000
0.369282,-6.363208,0.560000
0.114732,-6.363932,0.600000
-0.139825,-6.363924,0.640000
-0.394371,-6.362989,0.680000
-0.648799,-6.356975,0.720000
-0.902756,-6.337795,0.760000
-1.155490,-6.293522,0.800000
-1.405698,-6.208663,0.840000
-1.651396,-6.064753,0.880000
-1.889819,-5.841432,0.920000
-2.117376,-5.518151,0.960000
-2.329689,-5.076546,1.000000
-2.521739,-4.503384,1.040000
-2.688130,-3.793692,1.080000
-2.823484,-2.953483,1.120000
-2.922906,-2.001300,1.160000
-2.982496,-0.967874,1.200000
-2.999786,0.106441,1.240000
-2.974041,1.176206,1.280000
-2.906352,2.196559,1.320000
-2.799499,3.128736,1.360000
-2.657617,3.944276,1.400000
-2.485734,4.627149,1.440000
-2.289271,5.173677,1.480000
-2.073573,5.590701,1.520000
-1.843552,5.892715,1.560000
-1.603437,6.098731,1.600000
-1.356657,6.229428,1.640000
-1.105818,6.304907,1.680000
-0.852760,6.343114,1.720000
-0.598666,6.358873,1.760000
-0.344198,6.363370,1.800000
-0.089647,6.363919,1.840000
0.164910,6.363892,1.880000
0.419451,6.362705,1.920000
0.673852,6.355816,1.960000
0.927729,6.334755,2.000000
1.180282,6.287225,2.040000
1.430145,6.197409,2.080000
1.675262,6.046598,2.120000
1.912786,5.814326,2.160000
2.139047,5.480144,2.200000
2.349594,5.026056,2.240000
2.539358,4.439505,2.280000
2.702926,3.716493,2.320000
2.834944,2.864224,2.360000
2.930594,1.902492,2.400000
2.986100,0.863126,2.440000
2.999153,-0.212789,2.480000
2.969198,-1.279615,2.520000
2.897502,-2.292857,2.560000
2.786996,-3.214610,2.600000
2.641926,-4.017581,2.640000
2.467379,-4.686993,2.680000
2.268788,-5.220309,2.720000
2.051472,-5.625259,2.760000
1.820281,-5.916924,2.800000
1.579372,-6.114595,2.840000
1.332091,-6.238985,2.880000
1.080964,-6.310040,2.920000
0.827761,-6.345434,2.960000
0.573609,-6.359649,3.000000
0.319126,-6.363496,3.040000
0.064573,-6.363903,3.080000
-0.189983,-6.363852,3.120000
-0.444518,-6.362370,3.160000
-0.698890,-6.354524,3.200000
-0.952679,-6.331462,3.240000
-1.205037,-6.280523,3.280000
-1.454536,-6.185570,3.320000
-1.699043,-6.027660,3.360000
-1.935634,-5.786241,3.400000
-2.160556,-5.440986,3.440000
-2.369289,-4.974297,3.480000
-2.556715,-4.374322,3.520000
-2.717408,-3.638063,3.560000
-2.846045,-2.773932,3.600000
-2.937889,-1.802967,3.640000
-2.989289,-0.758067,3.680000
-2.998101,0.319002,3.720000
-2.963950,1.382453,3.760000
-2.888278,2.388217,3.800000
-2.774163,3.299284,3.840000
-2.625955,4.089548,3.880000
-2.448799,4.745482,3.920000
-2.248134,5.265668,3.960000
-2.029246,5.658701,4.000000
-1.796928,5.940209,4.040000
-1.555257,6.129743,4.080000
-1.307498,6.248023,4.120000
-1.056101,6.314828,4.160000
-0.802765,6.347551,4.200000
-0.548560,6.360328,4.240000
-0.294063,6.363592,4.280000
-0.039510,6.363886,4.320000
0.215045,6.363802,4.360000
0.469573,6.361976,4.400000
0.723911,6.353088,4.440000
0.977605,6.327903,4.480000
1.229754,6.273400,4.520000
1.478868,6.173127,4.560000
1.722739,6.007922,4.600000
1.958360,5.757161,4.640000
2.181899,5.400664,4.680000
2.388769,4.921261,4.720000
2.573805,4.307837,4.760000
2.731573,3.558419,4.800000
2.856784,2.682635,4.840000
2.944787,1.702762,4.880000
2.992062,0.652739,4.920000
2.996632,-0.425033,4.960000
2.958302,-1.484681,5.000000
2.878685,-2.482607,5.040000
2.761005,-3.382740,5.080000
2.609711,-4.160172,5.120000
2.429999,-4.802621,5.160000
2.227312,-5.309770,5.200000
2.006901,-5.691043,5.240000
1.773495,-5.962592,5.280000
1.531094,-6.144194,5.320000
1.282882,-6.256560,5.360000
1.031230,-6.319286,5.400000
0.777771,-6.349476,5.440000
0.523520,-6.360917,5.480000
0.269012,-6.363662,5.520000
0.014459,-6.363868,5.560000
-0.240095,-6.363738,5.600000
-0.494615,-6.361516,5.640000
-0.748915,-6.351498,5.680000
-1.002504,-6.324065,5.720000
-1.254431,-6.265839,5.760000
-1.503139,-6.160062,5.800000
-1.746344,-5.987363,5.840000
-1.980959,-5.727066,5.880000
-2.203072,-5.359165,5.920000
-2.408029,-4.866944,5.960000
-2.590624,-4.240056,6.000000
-2.745416,-3.477577,6.040000
-2.867157,-2.590362,6.080000
-2.951286,-1.601916,6.120000
-2.994419,-0.547187,6.160000
-2.994747,0.530840,6.200000
-2.952255,1.586259,6.240000
-2.868727,2.575999,6.280000
-2.747526,3.464959,6.320000
-2.593199,4.229447,6.360000
-2.410986,4.858417,6.400000
-2.206329,5.352628,6.440000
-1.984441,5.722307,6.480000
-1.749986,5.984094,6.520000
-1.506887,6.157970,6.560000
-1.258244,6.264614,6.600000
-1.006354,6.323430,6.640000
-0.752782,6.351223,6.680000
-0.498488,6.361424,6.720000
-0.243971,6.363711,6.760000
0.010582,6.363850,6.800000
0.265135,6.363656,6.840000
0.519644,6.360985,6.880000
0.773901,6.349743,6.920000
1.027378,6.319933,6.960000
1.279067,6.257823,7.000000
1.527347,6.146356,7.040000
1.769857,5.965965,7.080000
2.003427,5.695942,7.120000
2.224070,5.316477,7.160000
2.427064,4.811341,7.200000
2.607166,4.170983,7.240000
2.758932,3.395553,7.280000
2.877160,2.497141,7.320000
2.957384,1.500467,7.360000
2.996360,0.441454,7.400000
2.992447,-0.636379,7.440000
2.945812,-1.687149,7.480000
2.858407,-2.668365,7.520000
2.733732,-3.545928,7.560000
2.576424,-4.297371,7.600000
2.391764,-4.912877,7.640000
2.185189,-5.394257,7.680000
1.961870,-5.752510,7.720000
1.726404,-6.004736,7.760000
1.482637,-6.171090,7.800000
1.233587,-6.272205,7.840000
0.981473,-6.327275,7.880000
0.727797,-6.352801,7.920000
0.473466,-6.361858,7.960000
0.218941,-6.363742,8.000000
-0.035612,-6.363833,8.040000
-0.290163,-6.363554,8.080000
-0.544659,-6.360375,8.120000
-0.798870,-6.347813,8.160000
-1.052223,-6.315494,8.200000
-1.303660,-6.249336,8.240000
-1.551488,-6.131991,8.280000
-1.793273,-5.943710,8.320000
-2.025762,-5.663770,8.360000
-2.244888,-5.272587,8.400000
-2.445870,-4.754447,8.440000
-2.623427,-4.100625,8.480000
-2.772118,-3.312366,8.520000
-2.886791,-2.403002,8.560000
